text,label
Log bhaag rahe hain,crowd_panic
Bahut bheed hai,crowd_panic
Panic mach gaya hai,crowd_panic
Sab log dhakka de rahe hain,crowd_panic
People running everywhere,crowd_panic
Zone C bahut congested hai,crowd_panic
Crowd control fail ho gaya,crowd_panic
Log chilla rahe hain aur push kar rahe hain,crowd_panic
Koi gir gaya bheed mein,crowd_panic
Security nahi sambhal pa rahi bheed,crowd_panic
Zone D mein panic ho gaya,crowd_panic
Log ek dusre pe gir rahe hain,crowd_panic
Stampede jaisa lag raha hai,crowd_panic
Sab log bhag daud mein hain,crowd_panic
Bheed ke wajah se accident ho gaya,crowd_panic
Logon ka flow ruk nahi raha,crowd_panic
Crowd zyada ho gaya zone B mein,crowd_panic
Log aggressively react kar rahe hain,crowd_panic
Zone mein panic signal chalu karo,crowd_panic
Public scared hai situation se,crowd_panic
Koi route clear nahi dikh raha,crowd_panic
Log help maang rahe hain,crowd_panic
Security alert bhejo crowd ke liye,crowd_panic
Bheed itni zyada hai ki ghoom nahi sakte,crowd_panic
People suffocating in crowd,crowd_panic
Crowd uncontrollable ho gaya,crowd_panic
Emergency exit block ho gaya hai,crowd_panic
Log exit dhoond rahe hain,crowd_panic
Sab zone panic mein aa gaya hai,crowd_panic
Yahan pe rush zyada ho gaya,crowd_panic
Log ek dusre ko push kar rahe hain,crowd_panic
Bheed se girne ka danger hai,crowd_panic
Public ko safe rakhna mushkil hai,crowd_panic
Crowd se kisi ko chot lag sakti hai,crowd_panic
Security ko help chahiye bheed ke liye,crowd_panic
People are shouting and pushing,crowd_panic
Zone completely packed hai,crowd_panic
Sab panic mein gate ki taraf bhaag rahe,crowd_panic
No space to move in this crowd,crowd_panic
Kids stuck in bheed,crowd_panic
Bheed zone B mein control se bahar hai,crowd_panic
People falling down in the crowd,crowd_panic
Yahan koi control nahi hai,crowd_panic
Crowd surge ho raha hai zone C mein,crowd_panic
Kisi ko chot lag gayi bheed mein,crowd_panic
Rush itna hai ki dar lag raha,crowd_panic
Public ka reaction out of control hai,crowd_panic
People pushing toward the exit,crowd_panic
Zone D lockdown karo crowd ke wajah se,crowd_panic
Massive rush ho gaya hai suddenly,crowd_panic
Log confused hain kaha jaye,crowd_panic
Loud screams coming from bheed,crowd_panic
Stampede situation ban sakti hai,crowd_panic
Log crowd mein phas gaye hain,crowd_panic
Koi route safe nahi lag raha,crowd_panic
Kids crying in bheed,crowd_panic
Security missing from scene,crowd_panic
Bheed mein log fast move kar rahe,crowd_panic
Multiple people tripping in zone,crowd_panic
No way to control rush,crowd_panic
Log zone se bahar nikalna chahte hain,crowd_panic
Sab apna balance kho rahe,crowd_panic
Bheed se log suffocate ho rahe,crowd_panic
Control line fail ho gayi,crowd_panic
Barricade toot gaya bheed ke pressure se,crowd_panic
Rush ne sab direction block kar diya,crowd_panic
Log panic mein gate pe bhaag rahe,crowd_panic
Bheed mein kisi ka saman kho gaya,crowd_panic
People shouting help,crowd_panic
Koi sun nahi raha staff ki,crowd_panic
Zone B mein bheed kaafi zyada hai,crowd_panic
People stuck at food stall,crowd_panic
Emergency team bhejo bheed ke liye,crowd_panic
Exit gate crowd se block ho gaya,crowd_panic
Zone guard missing in action,crowd_panic
Fire + crowd situation together hai,crowd_panic
Multiple faintings ho rahi bheed mein,crowd_panic
Crowd route change karo,crowd_panic
Public waiting but area chhota hai,crowd_panic
Bheed zone se clear nahi ho rahi,crowd_panic
Safety issue ho raha bheed ke wajah se,crowd_panic
People crying and screaming,crowd_panic
Koi child bhi phas gaya bheed mein,crowd_panic
Medical emergency ho sakti bheed mein,crowd_panic
Zone B collapse ho sakta bheed se,crowd_panic
Security ko loudspeaker do,crowd_panic
Control team late pohchi bheed pe,crowd_panic
Kisi ka haath chhut gaya bheed mein,crowd_panic
Bheed zone ke control room tak pahuch gayi,crowd_panic
Emergency light zone pe chalu karo,crowd_panic
Panic spread ho raha rapidly,crowd_panic
Public tension mein hai,crowd_panic
Crowd mein kisi ka mood off ho gaya,crowd_panic
Log angry ho gaye bheed ke wajah se,crowd_panic
Someone fainted in bheed,crowd_panic
Security fence gir gaya,crowd_panic
Control zone bhi pack ho gaya,crowd_panic
Exit impossible due to rush,crowd_panic
No movement zone A crowd,crowd_panic
People yelling for help,crowd_panic
Staff bhi confused hai,crowd_panic
Log panic mein bhaag rahe bina soche,crowd_panic
Staff zone se hat gaya,crowd_panic
Bheed zone mein medical chahiye,crowd_panic
Too much noise in zone,crowd_panic
Log help chahte hain rush se nikalne ke liye,crowd_panic
