text,label
"Ek videshi vyakti ko madad chahiye, woh Hindi nahi samajhte.",need_interpreter
"Mujhe ek translator chahiye, main English bolta hoon.",need_interpreter
"Yeh log Gujarati mein baat kar rahe hain, mujhe samajh nahi aa raha.",need_interpreter
"Ek group lost ho gaya hai, unhe local bhasha nahi aati.",need_interpreter
Can you find someone who speaks Mandarin?,need_interpreter
"Mujhe direction chahiye, par woh Marathi mein bata rahe hain.",need_interpreter
"Visitor ko hospital jana hai, par unhe rasta nahi pata.",need_interpreter
Bahar se aaye hue logon ko koi information chahiye.,need_interpreter
"Someone is asking for help in French, I don't understand.",need_interpreter
Inhein ticket counter pe problem ho rahi hai.,need_interpreter
Mujhe ek bilingual person ki zaroorat hai for my group.,need_interpreter
"Visitor ko hotel ka address batana hai, par communication issue hai.",need_interpreter
"Emergency hai, aur woh apni language mein bata rahe hain.",need_interpreter
Can you translate this sign for me? It's in Korean.,need_interpreter
"Ek tourist ladkhada raha hai, use help chahiye.",need_interpreter
"Mujhe unse baat karni hai, par main unki language nahi bolta.",need_interpreter
"Log festival mein gum gaye hain, madad chahiye.",need_interpreter
Visitor ko food order karne mein dikat aa rahi hai.,need_interpreter
"Koi Italian mein help maang raha hai, please koi aao.",need_interpreter
"Mujhe medical assistance chahiye, par main local language nahi jaanta.",need_interpreter
Yeh log Russian mein kuch pooch rahe hain.,need_interpreter
"Visitor ko shopping mein help chahiye, aur woh English bol rahe hain.",need_interpreter
Ek foreigner tourist confused lag raha hai.,need_interpreter
"Mujhe local customs ke baare mein jaanna hai, par guide nahi hai.",need_interpreter
Visitor ko transport ki jaankari chahiye.,need_interpreter
"Log Bengali mein baat kar rahe hain, help needed.",need_interpreter
Can someone help this person? They only speak Spanish.,need_interpreter
"Mujhe kuch sawaal puchne hain, par woh meri language nahi bolte.",need_interpreter
Visitor ko ticket booking mein madad chahiye.,need_interpreter
Ek group ko meeting point samajh nahi aa raha.,need_interpreter
Mujhe ek interpreter chahiye for official work.,need_interpreter
Visitor ko local food ke baare mein bataiye.,need_interpreter
Koi Japanese mein direction pooch raha hai.,need_interpreter
"Mujhe tourist ko comfort karna hai, par language barrier hai.",need_interpreter
Log Tamil mein complain kar rahe hain.,need_interpreter
Visitor ko emergency contact number chahiye.,need_interpreter
Mujhe ek bilingual volunteer ki zaroorat hai.,need_interpreter
"Visitor ko museum mein kya dekhna hai, yeh pooch rahe hain.",need_interpreter
Someone is asking for a guide in German.,need_interpreter
Mujhe tourist ko cultural etiquette samjhana hai.,need_interpreter
"Log Portuguese mein baat kar rahe hain, help them.",need_interpreter
Visitor ko public transport ke rules batane hain.,need_interpreter
Mujhe ek translator chahiye for a medical consultation.,need_interpreter
